Departure;Arrival;year;month;AverageFare
ATL;BOS;2011;9;208
ATL;CLT;2011;9;147
ATL;DEN;2011;9;172
ATL;DFW;2011;9;230
ATL;DTW;2011;9;204
ATL;EWR;2011;9;245
ATL;LAX;2011;9;260
ATL;LGA;2011;9;186
ATL;MCO;2011;9;151
ATL;MIA;2011;9;167
ATL;MSP;2011;9;228
ATL;ORD;2011;9;189
ATL;PHL;2011;9;192
ATL;SFO;2011;9;289
BOS;ATL;2011;9;209
BOS;EWR;2011;9;168
BOS;LAX;2011;9;288
BOS;LGA;2011;9;237
BOS;ORD;2011;9;172
BOS;PHL;2011;9;233
BOS;SFO;2011;9;329
CLT;ATL;2011;9;145
CLT;LGA;2011;9;151
DEN;ATL;2011;9;170
DEN;DFW;2011;9;149
DEN;LAS;2011;9;124
DEN;LAX;2011;9;163
DEN;MSP;2011;9;139
DEN;ORD;2011;9;191
DEN;PHX;2011;9;133
DEN;SEA;2011;9;172
DEN;SFO;2011;9;190
DFW;ATL;2011;9;230
DFW;BOS;2011;9;243
DFW;DEN;2011;9;150
DFW;LAS;2011;9;183
DFW;LAX;2011;9;219
DFW;LGA;2011;9;344
DFW;ORD;2011;9;213
DFW;PHL;2011;9;259
DFW;SFO;2011;9;228
DTW;ATL;2011;9;203
DTW;LGA;2011;9;196
DTW;ORD;2011;9;146
EWR;ATL;2011;9;244
EWR;BOS;2011;9;168
EWR;LAX;2011;9;373
EWR;MCO;2011;9;174
EWR;ORD;2011;9;258
EWR;SFO;2011;9;408
IAH;LAX;2011;9;304
IAH;ORD;2011;9;277
JFK;LAS;2011;9;280
JFK;LAX;2011;9;347
JFK;MCO;2011;9;160
JFK;MIA;2011;9;186
JFK;SFO;2011;9;359
LAS;DEN;2011;9;127
LAS;DFW;2011;9;187
LAS;JFK;2011;9;288
LAS;LAX;2011;9;110
LAS;ORD;2011;9;200
LAS;SFO;2011;9;136
LAX;ATL;2011;9;260
LAX;BOS;2011;9;293
LAX;DEN;2011;9;163
LAX;DFW;2011;9;220
LAX;EWR;2011;9;379
LAX;IAH;2011;9;309
LAX;JFK;2011;9;348
LAX;LAS;2011;9;105
LAX;ORD;2011;9;232
LAX;SEA;2011;9;173
LAX;SFO;2011;9;120
LGA;ATL;2011;9;187
LGA;BOS;2011;9;237
LGA;CLT;2011;9;151
LGA;DFW;2011;9;342
LGA;DTW;2011;9;198
LGA;MIA;2011;9;187
LGA;ORD;2011;9;179
MCO;ATL;2011;9;153
MCO;EWR;2011;9;176
MCO;PHL;2011;9;155
MIA;ATL;2011;9;168
MIA;JFK;2011;9;191
MIA;LGA;2011;9;189
MSP;ATL;2011;9;230
MSP;DEN;2011;9;140
MSP;ORD;2011;9;130
ORD;ATL;2011;9;188
ORD;BOS;2011;9;173
ORD;DEN;2011;9;191
ORD;DFW;2011;9;211
ORD;DTW;2011;9;145
ORD;EWR;2011;9;263
ORD;IAH;2011;9;277
ORD;LAS;2011;9;196
ORD;LAX;2011;9;231
ORD;LGA;2011;9;179
ORD;MSP;2011;9;130
ORD;PHL;2011;9;215
ORD;PHX;2011;9;235
ORD;SEA;2011;9;260
ORD;SFO;2011;9;273
PHL;ATL;2011;9;192
PHL;BOS;2011;9;234
PHL;DFW;2011;9;258
PHL;MCO;2011;9;154
PHL;ORD;2011;9;213
PHX;DEN;2011;9;132
PHX;ORD;2011;9;236
SEA;DEN;2011;9;172
SEA;LAX;2011;9;172
SEA;ORD;2011;9;259
SEA;SFO;2011;9;163
SFO;ATL;2011;9;289
SFO;BOS;2011;9;332
SFO;DEN;2011;9;192
SFO;DFW;2011;9;229
SFO;EWR;2011;9;409
SFO;JFK;2011;9;358
SFO;LAS;2011;9;130
SFO;LAX;2011;9;120
SFO;ORD;2011;9;272
SFO;SEA;2011;9;164
ATL;BOS;2011;10;208
ATL;CLT;2011;10;147
ATL;DEN;2011;10;172
ATL;DFW;2011;10;230
ATL;DTW;2011;10;204
ATL;EWR;2011;10;245
ATL;LAX;2011;10;260
ATL;LGA;2011;10;186
ATL;MCO;2011;10;151
ATL;MIA;2011;10;167
ATL;MSP;2011;10;228
ATL;ORD;2011;10;189
ATL;PHL;2011;10;192
ATL;SFO;2011;10;289
BOS;ATL;2011;10;209
BOS;EWR;2011;10;168
BOS;LAX;2011;10;288
BOS;LGA;2011;10;237
BOS;ORD;2011;10;172
BOS;PHL;2011;10;233
BOS;SFO;2011;10;329
CLT;ATL;2011;10;145
CLT;LGA;2011;10;151
DEN;ATL;2011;10;170
DEN;DFW;2011;10;149
DEN;LAS;2011;10;124
DEN;LAX;2011;10;163
DEN;MSP;2011;10;139
DEN;ORD;2011;10;191
DEN;PHX;2011;10;133
DEN;SEA;2011;10;172
DEN;SFO;2011;10;190
DFW;ATL;2011;10;230
DFW;BOS;2011;10;243
DFW;DEN;2011;10;150
DFW;LAS;2011;10;183
DFW;LAX;2011;10;219
DFW;LGA;2011;10;344
DFW;ORD;2011;10;213
DFW;PHL;2011;10;259
DFW;SFO;2011;10;228
DTW;ATL;2011;10;203
DTW;LGA;2011;10;196
DTW;ORD;2011;10;146
EWR;ATL;2011;10;244
EWR;BOS;2011;10;168
EWR;LAX;2011;10;373
EWR;MCO;2011;10;174
EWR;ORD;2011;10;258
EWR;SFO;2011;10;408
IAH;LAX;2011;10;304
IAH;ORD;2011;10;277
JFK;LAS;2011;10;280
JFK;LAX;2011;10;347
JFK;MCO;2011;10;160
JFK;MIA;2011;10;186
JFK;SFO;2011;10;359
LAS;DEN;2011;10;127
LAS;DFW;2011;10;187
LAS;JFK;2011;10;288
LAS;LAX;2011;10;110
LAS;ORD;2011;10;200
LAS;SFO;2011;10;136
LAX;ATL;2011;10;260
LAX;BOS;2011;10;293
LAX;DEN;2011;10;163
LAX;DFW;2011;10;220
LAX;EWR;2011;10;379
LAX;IAH;2011;10;309
LAX;JFK;2011;10;348
LAX;LAS;2011;10;105
LAX;ORD;2011;10;232
LAX;SEA;2011;10;173
LAX;SFO;2011;10;120
LGA;ATL;2011;10;187
LGA;BOS;2011;10;237
LGA;CLT;2011;10;151
LGA;DFW;2011;10;342
LGA;DTW;2011;10;198
LGA;MIA;2011;10;187
LGA;ORD;2011;10;179
MCO;ATL;2011;10;153
MCO;EWR;2011;10;176
MCO;PHL;2011;10;155
MIA;ATL;2011;10;168
MIA;JFK;2011;10;191
MIA;LGA;2011;10;189
MSP;ATL;2011;10;230
MSP;DEN;2011;10;140
MSP;ORD;2011;10;130
ORD;ATL;2011;10;188
ORD;BOS;2011;10;173
ORD;DEN;2011;10;191
ORD;DFW;2011;10;211
ORD;DTW;2011;10;145
ORD;EWR;2011;10;263
ORD;IAH;2011;10;277
ORD;LAS;2011;10;196
ORD;LAX;2011;10;231
ORD;LGA;2011;10;179
ORD;MSP;2011;10;130
ORD;PHL;2011;10;215
ORD;PHX;2011;10;235
ORD;SEA;2011;10;260
ORD;SFO;2011;10;273
PHL;ATL;2011;10;192
PHL;BOS;2011;10;234
PHL;DFW;2011;10;258
PHL;MCO;2011;10;154
PHL;ORD;2011;10;213
PHX;DEN;2011;10;132
PHX;ORD;2011;10;236
SEA;DEN;2011;10;172
SEA;LAX;2011;10;172
SEA;ORD;2011;10;259
SEA;SFO;2011;10;163
SFO;ATL;2011;10;289
SFO;BOS;2011;10;332
SFO;DEN;2011;10;192
SFO;DFW;2011;10;229
SFO;EWR;2011;10;409
SFO;JFK;2011;10;358
SFO;LAS;2011;10;130
SFO;LAX;2011;10;120
SFO;ORD;2011;10;272
SFO;SEA;2011;10;164
ATL;BOS;2011;11;208
ATL;CLT;2011;11;147
ATL;DEN;2011;11;172
ATL;DFW;2011;11;230
ATL;DTW;2011;11;204
ATL;EWR;2011;11;245
ATL;LAX;2011;11;260
ATL;LGA;2011;11;186
ATL;MCO;2011;11;151
ATL;MIA;2011;11;167
ATL;MSP;2011;11;228
ATL;ORD;2011;11;189
ATL;PHL;2011;11;192
ATL;SFO;2011;11;289
BOS;ATL;2011;11;209
BOS;EWR;2011;11;168
BOS;LAX;2011;11;288
BOS;LGA;2011;11;237
BOS;ORD;2011;11;172
BOS;PHL;2011;11;233
BOS;SFO;2011;11;329
CLT;ATL;2011;11;145
CLT;LGA;2011;11;151
DEN;ATL;2011;11;170
DEN;DFW;2011;11;149
DEN;LAS;2011;11;124
DEN;LAX;2011;11;163
DEN;MSP;2011;11;139
DEN;ORD;2011;11;191
DEN;PHX;2011;11;133
DEN;SEA;2011;11;172
DEN;SFO;2011;11;190
DFW;ATL;2011;11;230
DFW;BOS;2011;11;243
DFW;DEN;2011;11;150
DFW;LAS;2011;11;183
DFW;LAX;2011;11;219
